aba,dia,vaso,linhas_originais,removidas_inicio,removidas_fim,linhas_mantidas,classes_mantidas
dia 18 - Soja Saudavel Vaso 1,18,1.0,3228,484,484,2260,1
dia 18 - Soja Saudavel Vaso 2,18,2.0,2754,413,413,1928,1
dia 18 - Soja Saudavel Vaso 4,18,4.0,2875,431,431,2013,1
dia 18 - Soja Saudavel Vaso 5,18,5.0,2725,408,408,1909,1
dia 11 - Soja Saudavel Vaso 1,11,1.0,4143,621,621,2901,1
dia 11 - Soja Saudavel Vaso 2,11,2.0,3416,512,512,2392,1
dia 11 - Soja Saudavel Vaso 3,11,3.0,4129,619,619,2891,1
dia 11 - Soja Saudavel Vaso 4,11,4.0,3692,553,553,2586,1
dia 11 - Soja Saudavel Vaso 5,11,5.0,3754,563,563,2628,1
dia 12 - Soja Saudavel Vaso 2,12,2.0,3626,543,543,2540,1
dia 13 - Soja Saudavel Vaso 1,13,1.0,3189,478,478,2233,1
dia 13 - Soja Saudavel Vaso 3,13,3.0,3419,512,512,2395,1
dia 13 - Soja Saudavel Vaso 4,13,4.0,2543,381,381,1781,1
dia 13 - Soja Saudavel Vaso 5,13,5.0,3192,478,478,2236,1
dia 19 - Soja Saudavel Vaso 1,19,1.0,1813,271,271,1271,1
dia 19 - Soja Saudavel Vaso 2,19,2.0,1921,288,288,1345,1
dia 19 - Soja Saudavel Vaso 3,19,3.0,1810,271,271,1268,1
dia 19 - Soja Saudavel Vaso 4,19,4.0,1702,255,255,1192,1
dia 19 - Soja Saudavel Vaso 5,19,5.0,1865,279,279,1307,1
dia 11 - Soja Heterodera Vaso 6,11,6.0,3401,510,510,2381,0
dia 11 - Soja Heterodera Vaso 7,11,7.0,3154,473,473,2208,0
dia 12 - Soja Heterodera Vaso 6,12,6.0,3557,533,533,2491,0
dia 12 - Soja Heterodera Vaso 7,12,7.0,3681,552,552,2577,0
dia 12 - Soja Heterodera Vaso 8,12,8.0,3540,531,531,2478,0
dia 12 - Soja Heterodera Vaso 9,12,9.0,3634,545,545,2544,0
dia 12 - Soja Heterodera Vaso 1,12,1.0,3571,535,535,2501,0
dia 18 - Soja Heterodera Vaso 6,18,6.0,2474,371,371,1732,0
dia 18 - Soja Heterodera Vaso 7,18,7.0,2455,368,368,1719,0
dia 18 - Soja Heterodera Vaso 8,18,8.0,2005,300,300,1405,0
dia 18 - Soja Heterodera Vaso 9,18,9.0,1902,285,285,1332,0
dia 18 - Soja Heterodera Vaso 1,18,1.0,1972,295,295,1382,0
dia 19 - Soja Heterodera Vaso 6,19,6.0,1719,257,257,1205,0
dia 19 - Soja Heterodera Vaso 7,19,7.0,2158,323,323,1512,0
dia 19 - Soja Heterodera Vaso 8,19,8.0,2161,324,324,1513,0
dia 19 - Soja Heterodera Vaso 9,19,9.0,2161,324,324,1513,0
dia 19 - Soja Heterodera Vaso 1,19,1.0,1891,283,283,1325,0
